"odata.metadata","value__Name","value__Direction","value__FarEndPoint","value__StartPoint","value__EndPoint","value__EstTime"
"","PIE","2","CHANGI AIRPORT","JALAN BAHAR","PIE/KJE INTERCHANGE","1"
"","PIE","2","CHANGI AIRPORT","PIE/KJE INTERCHANGE","JURONG RD","1"
"","PIE","2","CHANGI AIRPORT","JURONG RD","JURONG TOWN HALL RD","3"
"","PIE","2","CHANGI AIRPORT","JURONG TOWN HALL RD","BUKIT BATOK EAST AVE 3","2"
"","PIE","2","CHANGI AIRPORT","BUKIT BATOK EAST AVE 3","CLEMENTI AVE 6","1"
"","PIE","2","CHANGI AIRPORT","CLEMENTI AVE 6","BUKIT TIMAH RD","2"
"","PIE","2","CHANGI AIRPORT","BUKIT TIMAH RD","PIE/BKE INTERCHANGE","2"
"","PIE","2","CHANGI AIRPORT","PIE/BKE INTERCHANGE","ENG NEO AVE","2"
"","PIE","2","CHANGI AIRPORT","ENG NEO AVE","LORNIE RD","2"
"","PIE","2","CHANGI AIRPORT","LORNIE RD","WHITLEY RD","1"
"","PIE","2","CHANGI AIRPORT","WHITLEY RD","THOMSON RD","1"
"","PIE","2","CHANGI AIRPORT","THOMSON RD","KIM KEAT LINK","2"
"","PIE","2","CHANGI AIRPORT","KIM KEAT LINK","PIE/CTE INTERCHANGE","1"
"","PIE","2","CHANGI AIRPORT","PIE/CTE INTERCHANGE","KALLANG WAY","2"
"","PIE","2","CHANGI AIRPORT","KALLANG WAY","PAYA LEBAR WAY","2"
"","PIE","2","CHANGI AIRPORT","PAYA LEBAR WAY","JALAN EUNOS","2"
"","PIE","2","CHANGI AIRPORT","JALAN EUNOS","BEDOK RESERVOIR RD","2"
"","PIE","2","CHANGI AIRPORT","BEDOK RESERVOIR RD","BEDOK NORTH RD","0"
"","PIE","2","CHANGI AIRPORT","BEDOK NORTH RD","TAMPINES AVE 5","3"
"","PIE","2","CHANGI AIRPORT","TAMPINES AVE 5","SIMEI AVE","0"
"","PIE","2","CHANGI AIRPORT","SIMEI AVE","TAMPINES ST 31","1"
"","PIE","2","CHANGI AIRPORT","TAMPINES ST 31","PIE/TPE INTERCHANGE","1"
"","PIE","2","CHANGI AIRPORT","PIE/TPE INTERCHANGE","PIE/ECP INTERCHANGE","2"
"","SLE","1","BKE","CTE/SLE INTERCHANGE","YISHUN","3"
"","SLE","1","BKE","YISHUN","UPPER THOMSON","2"
"","SLE","1","BKE","UPPER THOMSON","MANDIA RD","3"
"","SLE","1","BKE","MANDIA RD","WOODLANDS AVE 12","1"
"","SLE","1","BKE","WOODLANDS AVE 12","WOODLANDS AVE 2","1"
"","SLE","1","BKE","WOODLANDS AVE 2","BKE/SLE INTERCHANGE","1"
"","SLE","2","CTE","BKE/SLE INTERCHANGE","WOODLANDS AVE 2","1"
"","SLE","2","CTE","WOODLANDS AVE 2","WOODLANDS AVE 12","1"
"","SLE","2","CTE","WOODLANDS AVE 12","MANDAI RD","1"
"","SLE","2","CTE","MANDAI RD","UPPER THOMSON","2"
"","SLE","2","CTE","UPPER THOMSON","LENTOR AVE","2"
"","SLE","2","CTE","LENTOR AVE","TPE/PIE INTERCHANGE","2"
"","SLE","2","CTE","TPE/PIE INTERCHANGE","YIO CHU KANG","1"
"","SLE","2","CTE","YIO CHU KANG","CTE/SLE INTERCHANGE","1"
"","TPE","1","CTE/SLE","PIE/TPE INTERCHANGE","TAMPINES AVE 7","1"
"","TPE","1","CTE/SLE","TAMPINES AVE 7","TAMPINES AVE 12","2"
"","TPE","1","CTE/SLE","TAMPINES AVE 12","PASIR RIS DRIVE 8","0"
"","TPE","1","CTE/SLE","PASIR RIS DRIVE 8","TAMPINES ROAD","1"
"","TPE","1","CTE/SLE","TAMPINES ROAD","TAMPINES AVE 10","1"
"","TPE","1","CTE/SLE","TAMPINES AVE 10","LOR HALUS","2"
"","TPE","1","CTE/SLE","LOR HALUS","PUNGGOL RD","2"
"","TPE","1","CTE/SLE","PUNGGOL RD","SENGKANG EXIT","1"
"","TPE","1","CTE/SLE","SENGKANG EXIT","JALAN KAYU","3"
"","TPE","1","CTE/SLE","JALAN KAYU","SLE/CTE/TPE INTERCHANGE","2"
"","TPE","2","PIE","SLE/CTE/TPE INTERCHANGE","JALAN KAYU","1"
"","TPE","2","PIE","JALAN KAYU","SENGKANG EXIT","2"
"","TPE","2","PIE","SENGKANG EXIT","PUNGGOL RD","1"
"","TPE","2","PIE","PUNGGOL RD","LOR HARUS","2"
"","TPE","2","PIE","LOR HARUS","PASIR RIS DRIVE 12","2"
"","TPE","2","PIE","PASIR RIS DRIVE 12","ELIAS ROAD","1"
"","TPE","2","PIE","ELIAS ROAD","PASIR RIS DRIVE 8","1"
"","TPE","2","PIE","PASIR RIS DRIVE 8","TAMPINES AVE 7","2"
"","TPE","2","PIE","TAMPINES AVE 7","LOYANG AVE","1"
"","TPE","2","PIE","LOYANG AVE","PIE/TPE INTERCHANGE","1"
