"odata.metadata","value__Longitude","value__Latitude"
"","103.74625","1.3012"
"","103.75764","1.40407"
"","103.83305","1.41664"
"","103.79151","1.2961"
"","103.8532","1.32261"
"","103.88745","1.34044"
"","103.86583","1.31274"
"","103.75161","1.38941"
"","103.94094","1.3792"
"","103.76586","1.31331"
"","103.83648","1.44404"
"","103.88071","1.31281"
"","103.89249","1.32855"
"","103.83697","1.36763"
"","103.83801","1.41776"
"","103.82489","1.33862"
"","103.62431","1.28661"
"","103.73817","1.34993"
"","103.86139","1.3032"
"","103.95027","1.33984"
"","103.8442","1.3664"
"","103.69284","1.33841"
"","103.89856","1.33217"
"","103.8031","1.4358"
"","103.77302","1.44231"
"","103.85642","1.30711"
"","103.74235","1.37698"
"","103.85329","1.28111"
"","103.82221","1.30554"
"","103.96997","1.37142"
"","103.95548","1.3551"
"","103.9431","1.35222"
"","103.94631","1.35538"
"","103.86183","1.31977"
"","103.86841","1.3737"
"","103.88068","1.33177"
"","103.84821","1.38695"
"","103.95952","1.34064"
"","103.94678","1.33233"
"","103.85902","1.28186"
"","103.85781","1.30864"
"","103.80266","1.27714"
"","103.84147","1.29307"
"","103.88132","1.34354"
"","103.85961","1.28284"
"","103.86605","1.31361"
"","103.85419","1.30826"
"","103.84822","1.38679"
"","103.70694","1.33871"
"","103.94434","1.35183"
"","103.73245","1.34623"
"","103.81005","1.32417"
"","103.82909","1.30639"
"","103.81877","1.26495"
"","103.9722","1.38217"
"","103.88377","1.31106"
"","103.90357","1.33044"
"","104.00112","1.3841"
"","103.98628","1.39082"
"","103.82397","1.3931"
"","103.89876","1.32638"
"","103.93213","1.31276"
"","103.95503","1.3538"
"","103.90066","1.38502"
"","103.76588","1.31339"
"","103.85806","1.34207"
"","103.84876","1.34105"
"","103.85682","1.36844"
"","103.82983","1.41029"
"","103.90539","1.31764"
"","103.85672","1.29996"
"","103.86973","1.32335"
"","103.86767","1.30975"
"","103.84497","1.31051"
"","103.93172","1.34736"
"","103.74606","1.30138"
"","103.98978","1.38885"
"","103.71618","1.3435"
"","103.79544","1.31"
"","103.85997","1.37218"
"","103.75592","1.40139"
"","103.85168","1.28215"
"","103.8907","1.32569"
"","103.87286","1.31046"
"","103.86838","1.37329"
"","103.752","1.3948"
"","103.82377","1.44472"
"","103.90532","1.31763"
"","103.85969","1.31094"
"","103.86471","1.30362"
"","103.87832","1.37913"
"","103.81272","1.27054"
"","103.7894","1.30843"
"","103.83072","1.43652"
"","103.89902","1.39097"
"","103.86064","1.29385"
"","103.94537","1.37053"
"","103.83923","1.24719"
"","103.89459","1.39646"
"","103.97406","1.37588"
"","103.89425","1.3361"
"","103.65562","1.31469"
"","103.97106","1.38402"
"","103.83359","1.27264"
"","103.63446","1.31415"
"","103.83654","1.43691"
"","103.8489","1.34089"
"","103.85521","1.30004"
"","103.86005","1.33655"
"","103.84506","1.33804"
"","103.78305","1.357"
"","103.96377","1.34907"
"","103.85271","1.31896"
"","103.85179","1.34338"
"","103.85329","1.29532"
"","103.88359","1.31342"
"","103.9269","1.37602"
"","103.77109","1.38247"
"","103.8503","1.3691"
"","103.7204","1.3404"
"","103.84761","1.31071"
"","103.81657","1.46277"
"","103.85884","1.28163"
"","103.85846","1.38369"
"","103.82574","1.25444"
"","103.7117","1.3491"
"","103.81566","1.30673"
"","103.80387","1.28712"
"","103.81124","1.27146"
"","103.89547","1.39566"
"","103.9314","1.32401"
"","103.82927","1.30609"
"","103.86399","1.37074"
"","103.79539","1.33127"
"","103.79138","1.29605"
"","103.82987","1.38543"
"","103.79456","1.27508"
"","103.85056","1.28556"
"","103.85914","1.2949"
"","104.00137","1.37798"
"","103.80445","1.28732"
"","103.84774","1.33413"
"","103.84815","1.38702"
"","103.88233","1.37486"
"","103.75449","1.32652"
"","103.65447","1.31315"
"","103.80646","1.28952"
"","103.89161","1.34212"
"","103.9217","1.32851"
"","103.93812","1.34666"
"","103.90907","1.40465"
"","103.75935","1.3331"
"","103.95855","1.35767"
"","103.77099","1.43821"
"","103.84912","1.28181"
"","103.86838","1.37325"
"","103.87746","1.30823"
"","103.80794","1.40561"
"","103.75404","1.34147"
"","103.85134","1.33388"
"","103.88177","1.31488"
"","103.84308","1.43537"
"","103.8864","1.33965"
"","103.88313","1.31381"
"","103.74589","1.33389"
"","103.84257","1.39651"
"","103.82077","1.27728"
"","103.85911","1.29482"
"","103.89802","1.37007"
"","104.00094","1.38046"
"","103.76274","1.30417"
"","103.85873","1.28152"
"","103.82548","1.25461"
"","103.85712","1.30904"
"","103.97317","1.3806"
"","103.84199","1.33522"
"","103.81117","1.33466"
"","103.78757","1.29889"
"","103.79167","1.29626"
"","103.8591","1.31043"
"","103.91087","1.30883"
"","103.90553","1.36341"
"","103.96397","1.33981"
"","103.86001","1.36496"
"","103.83335","1.30274"
"","103.75565","1.34135"
"","103.87696","1.29492"
"","103.88739","1.34033"
"","103.86023","1.28311"
"","103.71909","1.37443"
"","103.82804","1.28731"
"","103.85566","1.37194"
"","103.95121","1.34878"
"","103.85067","1.28516"
"","103.76988","1.38898"
"","103.89721","1.37158"
"","103.81823","1.33457"
"","103.85706","1.30261"
"","103.75706","1.34836"
"","103.86834","1.37291"
"","103.8381","1.30338"
"","103.77817","1.37157"
"","103.8577","1.30945"
"","103.88334","1.31522"
"","103.83834","1.29974"
"","103.85052","1.28537"
"","103.76207","1.3467"
"","103.74902","1.35654"
"","103.84545","1.36837"
"","103.8597","1.30354"
"","103.88607","1.37191"
"","103.84819","1.36875"
"","103.89735","1.39016"
"","103.73407","1.34447"
"","103.75025","1.40706"
"","103.74291","1.33198"
"","103.84962","1.28037"
"","103.89207","1.32178"
"","103.86473","1.30651"
"","103.72507","1.37231"
"","103.83892","1.39262"
"","103.74574","1.35016"
"","103.80073","1.29128"
"","103.9607","1.37049"
"","103.8591","1.28171"
"","103.92927","1.32369"
"","103.74592","1.33389"
"","103.87407","1.3752"
"","103.86836","1.37296"
"","103.78912","1.29012"
"","103.85755","1.40698"
"","103.83545","1.28399"
"","104.00099","1.38007"
"","103.88128","1.31283"
"","103.87706","1.39105"
"","103.88249","1.32108"
"","103.94117","1.37493"
"","103.88945","1.38322"
"","103.80772","1.46161"
"","103.89201","1.32177"
"","103.8528","1.30788"
"","103.81873","1.28396"
"","103.86064","1.34378"
"","103.93764","1.33213"
"","103.90598","1.32678"
"","103.83968","1.43166"
"","103.9686","1.35108"
"","103.85374","1.35898"
"","103.90369","1.31759"
"","103.74761","1.30329"
"","103.86838","1.37347"
"","103.80346","1.29332"
"","103.97001","1.34968"
"","103.89395","1.31429"
"","103.84812","1.36897"
"","103.82403","1.28161"
"","103.70705","1.33899"
"","103.86225","1.33057"
"","103.8622","1.31159"
"","103.73241","1.34505"
"","103.76247","1.37642"
"","103.88293","1.31515"
"","103.86645","1.34381"
"","103.84818","1.3869"
"","103.82852","1.44565"
"","103.73685","1.34486"
"","103.77102","1.30335"
"","103.76477","1.31567"
"","103.89477","1.33378"
"","103.85005","1.28166"
"","103.84801","1.35153"
"","103.9684","1.34576"
"","103.95026","1.34012"
"","103.88386","1.33261"
"","103.71437","1.37345"
"","103.78744","1.43727"
"","103.73176","1.34633"
"","103.7467","1.34294"
"","103.90174","1.33125"
"","103.86363","1.27173"
"","103.82164","1.28256"
"","103.76717","1.29165"
"","103.95752","1.37079"
"","103.72131","1.32619"
"","103.72937","1.34985"
"","103.84568","1.30057"
"","103.97431","1.37843"
"","103.9255","1.32693"
"","103.88251","1.30605"
"","103.87549","1.37404"
